what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436192230694
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436192258185
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436192264413
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192301975
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192335182
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192345357
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192354955
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436192363675
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1436192704386
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436192704923
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436192708183
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192885584
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192891668
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192969885
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436192971795
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436193038363
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436193040335
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.indent",1436193051457
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436193106456
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436193115655
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436193152500
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436193252324
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436193259039
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436193304609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1436193309432
