what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1436239428453
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1436239428544
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1436239428844
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1436239429109
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436239436529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436239537720
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436239698089
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1436239703772
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436239822053
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436240111632
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436240137070
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436241658383
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436241659911
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436269807494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436269808198
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436269809854
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436269810078
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436269822194
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1436269833702
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1436269833900
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1436269834064
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1436269834252
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1436269834362
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1436269834460
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1436269834661
